mm_4_75;mm_2;mm_1;fundo;peso_massa;data;produto;lote;ton;turno;box_consumo;aditivo;mm_4_75_perc;mm_2_perc;mm_1_perc;fundo_perc;linha
75.29;430.45;4.92;334.25;446.32;2024-11-11;MAP-12-52;226;49;A;BOX-07;NÃO;20.90;119.48;1.37;0.06;BAG MOVEL
38.69;279.48;3.92;1.14;334.39;2025-02-05;SAM 21;742;36;B;BOX-10;NAO;11.97;86.46;1.21;0.35;MAQUINARIO
37.71;277.50;4.90;1.20;335.77;2025-02-05;SAM 21;743;50;B;BOX-10;NAO;11.74;86.37;1.53;0.37;MAQUINARIO
22.25;295.78;4.33;0.88;334.06;2025-02-05;SAM 21;745;50;B;BOX-10;NAO;6.88;91.50;1.34;0.27;MAQUINARIO
43.39;276.47;4.01;1.10;335.00;2025-02-05;SAM 21;746;40;B;BOX-10;NAO;13.35;85.08;1.23;0.34;MAQUINARIO
42.36;276.42;4.96;1.12;334.21;2025-02-05;SAM 21;747;49;B;BOX-10;NAO;13.04;85.09;1.53;0.34;MAQUINARIO
16.29;278.46;0.39;1.10;306.88;2025-02-06;SAM 21;751;37;A;BOX-10;NAO;5.50;94.00;0.13;0.37;MAQUINARIO
15.55;322.26;9.22;1.41;335.55;2024-11-11;MAP-12-52;231;33;B;AZ-7;NÃO;4.46;92.49;2.65;0.40;BAG MOVEL
6.4;300.01;1.7;0.07;310.31;2024-11-13;MAP-12-52;163;37;A;AZ/07-A;NÃO;2.08;97.35;0.55;0.02;BAG MOVEL
20.7;313.36;4.53;1.01;335.47;2024-11-20;UREIA;8;50;B;AZ-05;NÃO;6.10;92.27;1.33;0.30;BAG MOVEL
30.96;305.77;2.9;1.13;335.47;2024-11-20;UREIA;9;50;B;AZ-05;NÃO;9.09;89.73;0.85;0.33;BAG MOVEL
3.72;313.53;8.75;0.01;320.66;2024-11-23;UREIA;18;50;A;AZ-05;NÃO;1.14;96.18;2.68;0.00;BAG MOVEL
2.19;296.48;16.75;2.42;313.31;2024-11-23;UREIA;21;50;A;AZ-05;NÃO;0.69;93.28;5.27;0.76;BAG MOVEL
3.56;308.01;12.98;0.11;320.36;2024-11-23;UREIA;22;50;A;AZ-05;NÃO;1.10;94.82;4.00;0.03;BAG MOVEL
3.31;323.9;11.22;0.38;334.38;2024-11-23;UREIA;23;49;A;AZ-05;NÃO;0.98;95.60;3.31;0.11;BAG MOVEL
3.72;302.89;12.51;0.22;313.15;2024-11-26;UREIA;24;49;A;AZ-05;NÃO;1.16;94.85;3.92;0.07;BAG MOVEL
6.5;390.28;5.48;4.02;406.57;2024-11-14;NDM-7J32;250;50;A;AZ-07-B;NÃO;1.60;96.06;1.35;0.99;BAG MOVEL
3.56;342.21;13.68;0.32;354;2024-11-26;UREIA;25;49;A;AZ-05;NÃO;0.99;95.12;3.80;0.09;BAG MOVEL
